FID	IID	UHML	FS	Enlongation	UI
S276	S276	28.6988139890807	30.835688636988	6.71877683212962	85.1433318352442
S277	S277	26.5366786939426	27.3086048109983	6.57657340114714	84.8261093527865
S278	S278	28.0233729886258	29.1321081185961	6.60501408734363	85.7045716119003
S279	S279	31.6834964059632	40.3806457258064	6.91786163550508	86.4366234944951
S280	S280	28.7603631505709	26.2246471269019	6.51969202875415	84.9725197293054
S281	S281	28.7870670780725	29.7517309528915	6.51969202875415	85.6801698824804
S282	S282	29.0529918140701	29.2444066461063	6.69033614593312	85.7045716119003
S283	S283	27.899677309877	28.2618707099145	6.63345477354013	85.3385456706029
S284	S284	28.8004355858942	29.2274347084877	6.4932060381596	84.8505110822063
S285	S285	26.6992501736643	25.1160932434912	6.41371761188824	85.460554317702
S287	S287	30.3674983501058	35.2207117720023	6.74721751832611	86.5098286827546
S288	S288	26.8478869551242	26.9171110444903	6.54813271495064	83.5084159641157
S289	S289	29.8597780654355	32.1225976005248	6.69033614593312	86.4610252239149
S290	S290	28.2580776098416	28.4525238896977	6.60501408734363	85.7289733413201
S291	S291	27.4365668156939	32.8852103196577	6.66189545973662	85.460554317702
S292	S292	28.9821528537386	32.5162020597483	6.49125134255765	86.1438027414572
S293	S293	26.5691929898869	27.2132782211067	6.68207981974402	85.1921352940839
S294	S294	31.7854150392443	35.8403346062978	6.69033614593312	86.2902131179761
S295	S295	29.8206225843216	32.7068552395316	6.7218240328797	86.2658113885563
S296	S296	27.1765333418068	27.5303999490232	6.57269446443096	84.3624764938097
S297	S297	27.8976342241845	27.9758909402396	6.63345477354013	85.7045716119003
S298	S298	27.0510401637824	24.0797988543405	6.43436997016466	84.2404678467106
S299	S299	29.4030555592859	31.610599455778	6.60501408734363	86.6318373298537
S300	S300	30.6082955060695	29.4057897886138	6.63345477354013	85.3873491294425
S301	S301	23.9110881554426	24.9070468060379	6.55299735631471	80.3816146722245
S302	S302	29.5187041219812	36.4599574405932	6.8040988907191	86.9002563534719
S303	S303	28.5386303442302	30.8833519319339	6.63345477354013	85.2897422117632
S304	S304	28.3110302726198	31.1509384439386	6.71877683212962	85.8509819884193
S305	S305	25.6794984605388	24.8835741505128	6.40592928396817	81.2878585869113
S306	S306	29.6719858028617	31.9796077156874	6.69033614593312	85.460554317702
S307	S307	29.8206225843216	31.3892549186676	6.77565820452261	85.9241871766787
S309	S309	29.0018979204432	29.1967433511605	6.69033614593312	84.6796989762675
S310	S310	29.1461491495768	30.2160658026926	6.69033614593312	86.4854269533348
S311	S311	26.060511118168	26.2392654131645	6.46281065636116	83.6304246112149
S313	S313	29.4094836004357	34.5350323850909	6.71877683212962	86.4610252239149
S314	S314	27.1353014488906	29.8544421135689	6.63345477354013	83.5328176935355
S315	S315	27.3858644904587	26.0693591424074	6.43436997016466	84.460083411489
S316	S316	29.0204775181257	33.8677462558496	6.72522325908077	86.6435773746998
S317	S317	27.4192095838605	29.4057897886138	6.60501408734363	84.8017076233666
S318	S318	28.2308446166201	28.2911407471902	6.64573483280941	84.8682786703898
S319	S319	29.3769693044914	30.5497088673132	6.71877683212962	86.5342304121744
S320	S320	27.8627320933689	31.2169949965545	6.60259139347266	85.6557681530606
S321	S321	25.5367726773671	29.1014167612689	6.54813271495064	82.3859364108036
S322	S322	30.3663328810836	33.9919672482449	6.65218289070232	85.3629474000227
S323	S323	29.9553246675196	36.030987786081	6.77141553010937	85.9503763552055
